id;date;details;status;payment_method;payment_date;payment_amount
1;2022-09-25T07:41:09;RAM systemic;PAID;CASH_ON_DELIVERY;2022-09-25T12:07:04;5801
2;2022-09-25T01:55:20;Idaho calculating model;ISSUED;CREDIT_CARD;2022-09-25T04:10:17;75071
3;2022-09-25T00:41:18;program SQL;CANCELLED;CREDIT_CARD;2022-09-24T23:20:42;79944
4;2022-09-25T11:35:25;Soft Central;PAID;CASH_ON_DELIVERY;2022-09-25T08:51:06;8068
5;2022-09-25T15:42:17;Bhutanese;CANCELLED;PAYPAL;2022-09-25T17:31:50;87472
6;2022-09-25T04:18:45;Engineer Shirt Court;CANCELLED;PAYPAL;2022-09-25T20:03:12;62834
7;2022-09-25T15:51:07;program transmitting parse;PAID;CREDIT_CARD;2022-09-25T06:51:25;38509
8;2022-09-25T06:32:43;Dynamic iterate;PAID;CREDIT_CARD;2022-09-25T02:49:31;6085
9;2022-09-24T23:26:26;black Maine;PAID;CREDIT_CARD;2022-09-25T02:08:31;11254
10;2022-09-25T12:41:47;Lead Well;CANCELLED;PAYPAL;2022-09-25T01:58:55;85804
