id;placed_date;status;code
1;2022-09-25T15:05:07;COMPLETED;Electronics
2;2022-09-25T09:27:06;COMPLETED;payment PCI violet
3;2022-09-25T19:55:59;CANCELLED;background out-of-the-box withdrawal
4;2022-09-24T23:59:00;COMPLETED;Music real-time
5;2022-09-25T08:03:09;CANCELLED;Hat
6;2022-09-25T20:47:57;PENDING;solid navigating
7;2022-09-25T06:43:43;PENDING;Toys maroon
8;2022-09-25T19:33:17;COMPLETED;Developer
9;2022-09-25T03:01:41;COMPLETED;Credit Soft Cotton
10;2022-09-25T17:44:17;CANCELLED;contingency Bedfordshire
